probe_diagnostic_bundle_result_compose	pass	2p/0f/0i	
probe_diagnostic_defprotocol_dispatch	pass	3p/0f/0i	
probe_diagnostic_dynamic_keyword_invocation	pass	8p/0f/0i	
probe_diagnostic_macro_splice_from_let	pass	2p/0f/0i	
probe_diagnostic_polymorphic_type	pass	8p/0f/0i	
probe_diagnostic_typed_entities_reflection	pass	7p/0f/0i	
probe_diagnostic_value_snapshot_in_errors	pass	8p/0f/0i	
probe_do_splice_def	pass	3p/0f/0i	
probe_do_splice_define	pass	2p/0f/0i	
probe_do_splice_enum	pass	2p/0f/0i	
probe_do_splice_struct	pass	2p/0f/0i	
probe_eval_signature_returns_tracked_value	pass	3p/0f/0i	
probe_hashmap_ctor_vector_symmetric	pass	9p/0f/0i	
probe_hash_scope_renumber	pass	2p/0f/0i	
probe_hygiene_scopes_reader_gate	pass	2p/0f/0i	
probe_let_splice_def	pass	3p/0f/0i	
probe_let_splice_define	pass	2p/0f/0i	
probe_let_splice_enum	pass	2p/0f/0i	
probe_let_splice_struct	pass	2p/0f/0i	
probe_macro_hygiene_capture	pass	2p/0f/0i	
probe_nil_return_value_position_bug	pass	4p/0f/0i	
probe_panic_hook_auto_installed	pass	1p/0f/0i	
probe_register_types_splice_aware	pass	7p/0f/0i	
probe_resolver_quote_awareness	pass	3p/0f/0i	
probe_stone_233_2_e_ast_derived_provenance	pass	5p/0f/0i	
probe_stone_233_2_j_producer_migration	pass	5p/0f/0i	
probe_stone_233_2_k_variant_retired	pass	5p/0f/0i	
probe_stone_233_2_l_wat_value_seal	pass	3p/0f/0i	
probe_stone_233_3_runtime_error_edn	pass	5p/0f/0i	
probe_substrate_symmetry_list_span_threading	pass	1p/0f/0i	
probe_tracked_value_mint_contract	pass	6p/0f/0i	
probe_verify_hashset_of_vector_gap	pass	1p/0f/0i	
test	pass	217p/0f/53i	
wat_arc098_form_matches_runtime	fail	0p/15f/0i	
wat_arc098_form_matches_typecheck	fail	2p/7f/0i	
wat_arc113_raise_round_trip	pass	1p/0f/0i	
wat_arc136_do_form	pass	10p/0f/0i	
wat_arc143_define_alias	pass	3p/0f/0i	
wat_arc144_hardcoded_primitives	fail	14p/3f/0i	
wat_arc144_lookup_form	pass	9p/0f/0i	
wat_arc144_special_forms	pass	9p/0f/0i	
wat_arc144_uniform_reflection	fail	8p/1f/0i	
wat_arc148_ord_buildout	fail	0p/46f/0i	
wat_arc150_variadic_define	fail	2p/14f/0i	
wat_arc153_nil_rename	fail	9p/1f/0i	
wat_arc154_kill_let_star	pass	10p/0f/0i	
wat_arc155_fn_rename	pass	12p/0f/0i	
wat_arc157_def	pass	19p/0f/0i	
wat_arc165_tuple_pascal	pass	4p/0f/0i	
wat_arc166_defn	pass	10p/0f/0i	
wat_arc167_fn_flat_signature	pass	7p/0f/0i	
wat_arc167_vector_ast	pass	5p/0f/0i	
wat_arc168_let_flat_shape	pass	13p/0f/0i	
wat_arc169_struct_destructure	pass	11p/0f/0i	
wat_arc170_closure_extraction	fail	20p/1f/0i	
wat_arc170_slice_1f_alpha_helpers	pass	7p/0f/3i	
wat_arc170_stone_c1_threadpeer	fail	2p/1f/0i	
wat_arc198_def_restricted	pass	5p/0f/0i	
wat_arc198_slice2_stone_1_inventory_wiring	pass	1p/0f/0i	
wat_arc198_slice2_stone_2_attribute	pass	3p/0f/0i	
wat_arc198_slice2_stone_3_apply	pass	2p/0f/0i	
wat_arc202_process_join_holds_stdin	pass	3p/0f/0i	
wat_arc203_struct_restricted	pass	6p/0f/0i	
wat_arc220_list	fail	18p/5f/0i	
wat_arc221_char_atomization	pass	3p/0f/0i	
wat_arc221_keyword_nil_tag_atomization	fail	5p/1f/0i	
wat_bundle_capacity	pass	7p/0f/0i	
wat_core_cond	fail	1p/9f/0i	
wat_core_try	pass	13p/0f/0i	
wat_dispatch_193a	pass	4p/0f/0i	
wat_dispatch_193b	pass	2p/0f/0i	
wat_dispatch_e1_vec	pass	4p/0f/0i	
wat_dispatch_e2_tuple	pass	3p/0f/0i	
wat_dispatch_e3_result	pass	4p/0f/0i	
wat_dispatch_e4_shared	pass	3p/0f/0i	
wat_dispatch_e5_owned_move	pass	2p/0f/0i	
wat_eval_result	pass	7p/0f/0i	
wat_harness	fail	2p/5f/0i	
wat_idempotent_redeclare	fail	5p/1f/0i	
wat_io	pass	17p/0f/0i	
wat_macro_vector_splice_symmetry	fail	1p/2f/0i	
wat_make_deftest	pass	1p/0f/0i	
wat_names_are_values	pass	5p/0f/0i	
wat_newtype_values	pass	5p/0f/0i	
wat_parametric_enum_typecheck	pass	3p/0f/0i	
wat_run_threads_d1	fail	0p/1f/0i	
wat_run_threads_d2	fail	0p/1f/0i	
wat_spawn_fn	pass	4p/0f/0i	
wat_stream	fail	21p/1f/0i	
wat_structs	pass	9p/0f/0i	
wat_tco	pass	11p/0f/0i	
wat_typealias	pass	9p/0f/0i	
wat_typed_if_match	pass	18p/0f/0i	
wat_u8	pass	9p/0f/0i	
wat_variadic_defmacro	pass	6p/0f/0i	
# ─── TOTALS ────────────────────────────────────────────────────────
# binaries_run=185  passed=152  failed=33  timed_out=0
# tests_passed=1460  tests_failed=147  tests_ignored=59
# ─── ERROR-CLASS HISTOGRAM ─────────────────────────────────────────
# NoMatchingClause=46
# UnresolvedReference=52
# MalformedForm=17
# TypeMismatch=4
# UnboundSymbol=1
# ─── EXCLUDED (leaky-signal heuristic) ─────────────────────────────
# excluded_count=67
# inventory_path=/home/watmin/work/holon/wat-rs/target/integration-inventory.tsv
